ID	SRR14062898	SRR14062899	SRR14062940	SRR14062947
hsa-miR-215-3p	0	0	0	0
hsa-miR-216a-5p	0	0	0	0
hsa-miR-216a-3p	0	0	0	0
hsa-miR-217-5p	0	0	0	0
hsa-miR-217-3p	0	0	0	0
hsa-miR-218-5p	0	0	0	0
hsa-miR-218-1-3p	0	0	0	0
hsa-miR-218-2-3p	0	0	0	0
hsa-miR-219a-5p	0	0	0	0
hsa-miR-219a-1-3p	2	3	2	0
hsa-miR-221-5p	0	0	0	1
hsa-miR-221-3p	114	419	169	112
hsa-miR-222-5p	0	0	0	0
hsa-miR-222-3p	16	22	39	22
hsa-miR-223-5p	0	1	0	0
hsa-miR-223-3p	2697	1338	2997	1905
hsa-miR-224-5p	0	1	1	0
hsa-miR-224-3p	0	0	0	0
hsa-miR-200b-5p	0	0	0	0
hsa-miR-200b-3p	0	0	0	0
hsa-let-7g-5p	557	4231	3049	1859
hsa-let-7g-3p	3	3	3	1
hsa-let-7i-5p	1706	7561	1367	2473
hsa-let-7i-3p	27	56	96	72
hsa-miR-1-3p	0	0	0	0
hsa-miR-15b-5p	1094	1960	1918	1095
hsa-miR-15b-3p	250	196	251	175
hsa-miR-23b-5p	0	0	0	0
hsa-miR-23b-3p	211	148	393	180
hsa-miR-27b-5p	1	3	2	0
hsa-miR-27b-3p	1131	1324	4283	884
hsa-miR-30b-5p	4059	2829	3679	3832
hsa-miR-30b-3p	0	0	0	0
hsa-miR-122-5p	0	0	0	1
hsa-miR-122-3p	0	0	0	0
hsa-miR-124-5p	0	0	0	0
hsa-miR-124-3p	0	0	0	0
hsa-miR-125b-5p	34	59	46	52
hsa-miR-125b-1-3p	0	0	0	0
hsa-miR-128-1-5p	1	6	2	0
hsa-miR-128-3p	1535	1373	3299	2225
hsa-miR-130a-5p	1	2	1	1
hsa-miR-130a-3p	622	1153	1265	957
hsa-miR-132-5p	1	1	0	0
hsa-miR-132-3p	13	12	42	31
hsa-miR-133a-5p	0	0	0	0
hsa-miR-133a-3p	2	0	1	2
hsa-miR-135a-5p	0	0	3	1
hsa-miR-135a-3p	0	0	0	0
hsa-miR-135a-2-3p	0	0	0	0
hsa-miR-137-5p	0	0	0	0
hsa-miR-137-3p	0	0	0	0
hsa-miR-138-5p	2	0	1	0
hsa-miR-138-2-3p	0	0	0	0
hsa-miR-140-5p	6	32	44	19
hsa-miR-140-3p	567	586	783	601
hsa-miR-141-5p	0	0	1	0
hsa-miR-141-3p	0	7	2	3
hsa-miR-142-5p	4511	11637	8308	8178
hsa-miR-142-3p	866	975	1730	1054
hsa-miR-143-5p	0	0	0	0
hsa-miR-143-3p	251	188	513	115
hsa-miR-144-5p	779	4702	1887	2157
hsa-miR-144-3p	323	4917	1020	1139
hsa-miR-145-5p	109	41	27	14
hsa-miR-145-3p	3	1	0	0
hsa-miR-152-5p	1	0	0	0
hsa-miR-152-3p	4	1	12	6
hsa-miR-153-3p	2	4	0	0
hsa-miR-153-5p	0	0	0	0
hsa-miR-191-5p	49046	53639	69214	49597
hsa-miR-191-3p	4	3	4	2
hsa-miR-9-5p	3	1	1	0
hsa-miR-9-3p	1	0	0	0
hsa-miR-125a-5p	122	120	173	209
hsa-miR-125a-3p	0	0	0	1
hsa-miR-125b-2-3p	0	0	1	0
hsa-miR-126-5p	483	3330	1902	1065
hsa-miR-126-3p	42	464	290	202
hsa-miR-127-5p	0	0	0	0
hsa-miR-127-3p	1	21	69	20
hsa-miR-129-2-3p	0	1	1	0
hsa-miR-134-5p	1	0	3	1
hsa-miR-134-3p	0	0	0	0
hsa-miR-136-5p	0	0	1	2
hsa-miR-136-3p	0	0	10	3
hsa-miR-138-1-3p	0	0	0	0
hsa-miR-146a-5p	19	36	87	49
hsa-miR-146a-3p	0	0	0	0
hsa-miR-149-5p	0	0	0	0
hsa-miR-149-3p	0	0	0	0
hsa-miR-150-5p	241	730	292	2385
hsa-miR-150-3p	2	2	1	3
hsa-miR-154-5p	0	0	1	1
hsa-miR-154-3p	0	0	0	0
hsa-miR-184	2	0	0	0
hsa-miR-185-5p	1202	1250	1498	1307
hsa-miR-185-3p	26	23	29	16
hsa-miR-186-5p	17576	12696	28317	14452
hsa-miR-186-3p	0	0	0	1
hsa-miR-188-5p	2	1	1	3
hsa-miR-188-3p	7	4	6	4
hsa-miR-190a-5p	16	109	15	43
hsa-miR-190a-3p	3	0	3	0
hsa-miR-193a-5p	4	5	8	10
hsa-miR-193a-3p	4	7	7	1
hsa-miR-194-5p	842	839	1907	750
hsa-miR-195-5p	1	2	4	4
hsa-miR-195-3p	0	0	0	0
hsa-miR-206	0	0	0	0
hsa-miR-320a-5p	0	0	0	0
hsa-miR-320a-3p	713	735	534	822
hsa-miR-200c-5p	0	0	0	0
hsa-miR-200c-3p	3	1	3	5
hsa-miR-1-5p	0	0	0	0
hsa-miR-155-5p	8	38	29	27
hsa-miR-155-3p	0	0	0	0
hsa-miR-181b-2-3p	0	1	2	0
hsa-miR-128-2-5p	0	0	0	0
hsa-miR-194-3p	0	0	4	0
hsa-miR-106b-5p	417	1380	832	741
hsa-miR-106b-3p	984	1838	2231	1369
hsa-miR-29c-5p	28	9	36	29
hsa-miR-29c-3p	111	209	485	210
hsa-miR-30c-1-3p	8	4	16	7
hsa-miR-200a-5p	0	0	0	0
hsa-miR-200a-3p	0	0	0	0
hsa-miR-302a-5p	0	0	0	0
hsa-miR-302a-3p	0	0	0	0
hsa-miR-101-2-5p	0	0	0	0
hsa-miR-219a-2-3p	0	0	0	0
hsa-miR-34b-5p	0	0	0	0
hsa-miR-34b-3p	0	0	0	0
hsa-miR-34c-5p	0	0	0	0
hsa-miR-34c-3p	0	0	0	0
hsa-miR-299-5p	0	0	0	0
hsa-miR-299-3p	0	0	0	0
hsa-miR-301a-5p	0	2	1	1
hsa-miR-301a-3p	63	297	176	82
hsa-miR-99b-5p	78	53	74	76
hsa-miR-99b-3p	0	0	0	0
hsa-miR-296-5p	17	30	51	22
hsa-miR-296-3p	0	0	0	0
hsa-miR-130b-5p	28	49	75	88
hsa-miR-130b-3p	76	213	156	208
hsa-miR-30e-5p	354	652	835	968
hsa-miR-30e-3p	317	243	723	383
hsa-miR-26a-2-3p	3	3	12	6
hsa-miR-361-5p	85	74	96	131
hsa-miR-361-3p	258	289	305	533
hsa-miR-362-5p	72	82	61	36
hsa-miR-362-3p	40	40	50	64
hsa-miR-363-5p	0	0	1	0
hsa-miR-363-3p	4466	7709	13325	11931
hsa-miR-365a-5p	0	0	0	0
hsa-miR-365a-3p	3	0	5	2
hsa-miR-365b-5p	0	1	0	0
hsa-miR-365b-3p	6	4	1	1
hsa-miR-302b-5p	0	0	0	0
hsa-miR-302b-3p	0	0	0	0
hsa-miR-302c-5p	0	0	0	0
hsa-miR-302c-3p	0	0	0	0
hsa-miR-302d-5p	0	0	0	0
hsa-miR-302d-3p	0	0	0	0
hsa-miR-367-5p	0	0	0	0
hsa-miR-367-3p	0	0	0	0
hsa-miR-376c-5p	0	0	0	0
hsa-miR-376c-3p	0	0	5	0
hsa-miR-369-5p	0	0	6	1
hsa-miR-369-3p	0	0	0	0
hsa-miR-370-5p	0	0	0	0
hsa-miR-370-3p	0	2	0	1
hsa-miR-371a-5p	0	0	0	0
hsa-miR-371a-3p	2	2	1	0
hsa-miR-372-5p	0	0	0	0
hsa-miR-372-3p	0	0	0	0
hsa-miR-373-5p	0	0	0	0
hsa-miR-373-3p	0	0	0	0
hsa-miR-374a-5p	32	105	177	132
hsa-miR-374a-3p	20	129	70	56
hsa-miR-375-5p	0	0	0	0
hsa-miR-375-3p	1	1	0	1
hsa-miR-376a-5p	0	0	2	2
hsa-miR-376a-3p	1	0	1	0
hsa-miR-377-5p	0	0	0	0
hsa-miR-377-3p	0	0	3	0
hsa-miR-378a-5p	21	19	72	42
hsa-miR-378a-3p	672	814	760	367
hsa-miR-379-5p	0	0	0	0
hsa-miR-379-3p	0	0	1	0
hsa-miR-380-5p	0	0	0	0
hsa-miR-380-3p	0	0	1	0
hsa-miR-381-5p	0	0	0	0
hsa-miR-381-3p	0	5	15	10
hsa-miR-382-5p	0	0	2	0
hsa-miR-382-3p	0	0	1	0
hsa-miR-383-5p	0	0	0	0
hsa-miR-383-3p	0	0	0	0
hsa-miR-340-5p	277	487	467	273
hsa-miR-340-3p	23	17	72	41
hsa-miR-330-5p	8	5	15	15
hsa-miR-330-3p	0	3	3	2
hsa-miR-328-5p	0	0	0	0
hsa-miR-328-3p	81	130	268	140
hsa-miR-342-5p	0	3	7	6
hsa-miR-342-3p	112	243	127	224
hsa-miR-337-5p	0	0	0	0
hsa-miR-337-3p	0	1	4	0
hsa-miR-323a-5p	0	0	0	0
hsa-miR-323a-3p	0	1	3	0
hsa-miR-326	10	7	7	8
hsa-miR-151a-5p	2639	3673	6195	3375
hsa-miR-151a-3p	1553	1123	3328	1592
hsa-miR-135b-5p	0	0	0	0
hsa-miR-135b-3p	0	0	0	0
hsa-miR-148b-5p	2	1	16	4
hsa-miR-148b-3p	341	400	632	369
hsa-miR-331-5p	5	5	3	4
hsa-miR-331-3p	421	192	584	359
hsa-miR-324-5p	120	173	254	245
hsa-miR-324-3p	62	80	113	110
hsa-miR-338-5p	2	1	4	2
hsa-miR-338-3p	9	1	3	6
hsa-miR-339-5p	346	134	464	319
hsa-miR-339-3p	226	141	424	311
hsa-miR-335-5p	107	82	158	159
hsa-miR-335-3p	39	34	47	34
hsa-miR-133b	0	0	0	0
hsa-miR-325	0	0	0	0
hsa-miR-345-5p	428	338	906	513
hsa-miR-345-3p	0	0	0	0
hsa-miR-346	0	0	0	0
hsa-miR-384	0	0	0	0
hsa-miR-196b-5p	3	12	10	1
hsa-miR-196b-3p	0	0	0	0
hsa-miR-422a	0	0	0	0
hsa-miR-423-5p	4480	5020	9185	9898
hsa-miR-423-3p	2451	1790	7025	2350
hsa-miR-424-5p	30	70	26	19
hsa-miR-424-3p	82	80	148	84
hsa-miR-425-5p	3751	7019	12337	14456
hsa-miR-425-3p	14	8	33	16
hsa-miR-18b-5p	7	26	10	10
hsa-miR-18b-3p	0	0	0	0
hsa-miR-20b-5p	33	157	69	59
hsa-miR-20b-3p	0	1	2	1
hsa-miR-448	0	0	0	0
hsa-miR-429	1	0	0	0
hsa-miR-449a	1	1	0	0
hsa-miR-450a-5p	15	10	14	7
hsa-miR-450a-1-3p	0	0	0	0
hsa-miR-431-5p	0	9	6	3
hsa-miR-431-3p	0	0	0	0
hsa-miR-433-5p	0	0	0	0
hsa-miR-433-3p	0	0	2	0
hsa-miR-329-5p	0	0	0	0
hsa-miR-329-3p	0	2	0	0
hsa-miR-451a	537539	625388	693916	821580
hsa-miR-452-5p	0	0	0	0
hsa-miR-452-3p	0	0	0	0
hsa-miR-409-5p	0	0	0	0
hsa-miR-409-3p	4	33	65	40
hsa-miR-412-5p	0	0	0	1
hsa-miR-412-3p	0	0	0	0
hsa-miR-410-5p	0	0	0	0
hsa-miR-410-3p	1	6	28	8
hsa-miR-376b-5p	0	0	0	0
hsa-miR-376b-3p	0	0	0	0
hsa-miR-483-5p	0	0	0	0
hsa-miR-483-3p	1	0	3	0
hsa-miR-484	7029	8053	19150	13831
hsa-miR-485-5p	0	0	0	0
hsa-miR-485-3p	0	2	3	0
hsa-miR-486-5p	1571912	1649080	2345314	2545862
hsa-miR-486-3p	1543	1623	2301	2538
hsa-miR-487a-5p	0	0	0	0
hsa-miR-487a-3p	0	0	2	2
hsa-miR-488-5p	0	0	0	0
hsa-miR-488-3p	0	0	0	0
hsa-miR-489-5p	0	0	0	0
hsa-miR-489-3p	0	0	0	0
hsa-miR-490-5p	0	0	0	0
hsa-miR-490-3p	0	0	0	1
hsa-miR-491-5p	1	0	1	0
hsa-miR-491-3p	1	0	1	0
hsa-miR-511-5p	0	0	1	0
hsa-miR-511-3p	0	0	0	0
hsa-miR-146b-5p	67	153	171	96
hsa-miR-146b-3p	1	4	0	3
hsa-miR-202-5p	9	8	5	3
hsa-miR-202-3p	0	1	0	0
hsa-miR-492	0	0	0	0
hsa-miR-493-5p	0	0	0	0
hsa-miR-493-3p	0	0	1	0
hsa-miR-432-5p	0	1	1	0
hsa-miR-432-3p	0	0	0	0
hsa-miR-494-5p	0	0	0	0
hsa-miR-494-3p	0	0	0	0
hsa-miR-495-5p	0	0	0	0
hsa-miR-495-3p	1	1	0	0
hsa-miR-496	0	0	0	0
hsa-miR-193b-5p	0	0	0	0
hsa-miR-193b-3p	0	0	0	1
hsa-miR-497-5p	2	0	2	0
hsa-miR-497-3p	0	0	0	0
hsa-miR-181d-5p	1	1	1	0
hsa-miR-181d-3p	0	0	0	0
hsa-miR-512-5p	0	0	0	0
hsa-miR-512-3p	0	0	0	0
hsa-miR-498-5p	0	0	0	0
hsa-miR-498-3p	0	0	0	0
hsa-miR-520e-5p	0	0	0	0
hsa-miR-520e-3p	0	0	0	0
hsa-miR-515-5p	0	0	0	0
hsa-miR-515-3p	0	0	0	0
hsa-miR-519e-5p	0	0	0	0
hsa-miR-519e-3p	0	0	0	0
hsa-miR-520f-5p	0	0	0	0
hsa-miR-520f-3p	0	0	0	0
hsa-miR-519c-5p	0	0	0	0
hsa-miR-519c-3p	0	0	0	0
hsa-miR-520a-5p	0	0	0	0
hsa-miR-520a-3p	0	0	0	0
hsa-miR-526b-5p	0	0	0	0
hsa-miR-526b-3p	0	0	0	0
hsa-miR-519b-5p	0	0	0	0
hsa-miR-519b-3p	0	0	0	0
hsa-miR-525-5p	0	0	0	0
hsa-miR-525-3p	0	0	0	0
hsa-miR-523-5p	0	0	0	0
hsa-miR-523-3p	0	0	0	0
hsa-miR-518f-5p	0	0	0	0
hsa-miR-518f-3p	0	0	0	0
hsa-miR-520b-5p	0	0	0	0
hsa-miR-520b-3p	0	0	0	0
hsa-miR-518b	0	0	0	0
hsa-miR-526a-5p	0	0	0	0
hsa-miR-526a-3p	0	0	0	0
hsa-miR-520c-5p	0	0	0	0
hsa-miR-520c-3p	0	0	0	0
hsa-miR-518c-5p	0	0	0	0
hsa-miR-518c-3p	0	0	0	0
hsa-miR-524-5p	0	0	0	0
hsa-miR-524-3p	0	0	0	0
hsa-miR-517-5p	0	0	0	0
hsa-miR-517a-3p	0	0	0	0
hsa-miR-519d-5p	0	0	0	0
hsa-miR-519d-3p	0	0	0	0
hsa-miR-521	0	0	0	0
hsa-miR-520d-5p	0	0	0	0
hsa-miR-520d-3p	0	0	0	0
hsa-miR-517b-3p	0	0	0	0
hsa-miR-520g-5p	0	0	0	0
hsa-miR-520g-3p	0	0	0	0
hsa-miR-516b-5p	0	0	0	0
hsa-miR-516b-3p	0	0	0	0
hsa-miR-518e-5p	0	0	0	0
hsa-miR-518e-3p	0	0	0	0
hsa-miR-518a-5p	0	0	0	0
hsa-miR-518a-3p	0	0	0	0
hsa-miR-518d-5p	0	0	0	0
hsa-miR-518d-3p	0	0	0	0
hsa-miR-517c-3p	0	0	0	0
hsa-miR-520h	0	0	0	0
hsa-miR-522-5p	0	0	0	0
hsa-miR-522-3p	0	0	0	0
hsa-miR-519a-5p	0	0	0	0
hsa-miR-519a-3p	0	0	0	0
hsa-miR-527	0	0	0	0
hsa-miR-516a-5p	0	0	0	0
hsa-miR-516a-3p	0	0	0	0
hsa-miR-519a-2-5p	0	0	0	0
hsa-miR-499a-5p	0	5	0	1
hsa-miR-499a-3p	0	0	0	0
hsa-miR-500a-5p	10	13	13	11
hsa-miR-500a-3p	72	87	69	41
hsa-miR-501-5p	4	9	6	6
hsa-miR-501-3p	188	361	180	113
hsa-miR-502-5p	0	0	0	0
hsa-miR-502-3p	96	141	171	77
hsa-miR-450a-2-3p	1	0	0	0
hsa-miR-503-5p	7	11	18	25
hsa-miR-503-3p	1	0	0	0
hsa-miR-504-5p	0	0	0	0
hsa-miR-504-3p	0	0	0	0
hsa-miR-505-5p	0	3	3	5
hsa-miR-505-3p	13	13	22	3
hsa-miR-513a-5p	0	0	0	0
hsa-miR-513a-3p	0	0	0	0
hsa-miR-506-5p	0	0	0	0
hsa-miR-506-3p	0	0	0	0
hsa-miR-507	0	0	0	0
hsa-miR-508-5p	0	0	0	0
hsa-miR-508-3p	0	0	0	0
hsa-miR-509-5p	0	0	0	0
hsa-miR-509-3p	0	0	0	0
hsa-miR-510-5p	0	0	0	0
hsa-miR-510-3p	0	0	0	0
hsa-miR-514a-5p	0	0	0	0
hsa-miR-514a-3p	0	0	0	0
hsa-miR-532-5p	872	1635	1151	1169
hsa-miR-532-3p	267	265	324	288
hsa-miR-455-5p	0	0	0	0
hsa-miR-455-3p	0	0	0	0
hsa-miR-539-5p	0	0	0	0
hsa-miR-539-3p	0	0	0	0
hsa-miR-544a	0	0	0	0
hsa-miR-545-5p	0	1	0	1
hsa-miR-545-3p	0	1	0	0
hsa-miR-376a-2-5p	0	0	0	0
hsa-miR-487b-5p	0	0	0	0
hsa-miR-487b-3p	0	0	0	0
hsa-miR-551a	2	0	0	1
hsa-miR-552-5p	0	0	0	0
hsa-miR-552-3p	0	0	0	0
hsa-miR-553	0	0	0	0
hsa-miR-554	0	0	0	0
hsa-miR-92b-5p	1	2	4	4
hsa-miR-92b-3p	3169	3632	6282	3984
hsa-miR-555	0	0	0	0
hsa-miR-556-5p	0	0	2	1
hsa-miR-556-3p	1	0	0	2
hsa-miR-557	0	0	0	0
hsa-miR-558	0	0	0	0
hsa-miR-559	0	0	0	1
hsa-miR-561-5p	13	21	68	91
hsa-miR-561-3p	0	0	0	0
hsa-miR-562	0	0	0	0
hsa-miR-563	0	0	0	0
hsa-miR-564	0	0	0	0
hsa-miR-567	0	0	0	0
hsa-miR-568	0	0	0	0
hsa-miR-551b-5p	0	0	0	0
hsa-miR-551b-3p	0	0	0	0
hsa-miR-569	0	0	0	0
hsa-miR-570-5p	0	0	0	0
hsa-miR-570-3p	5	5	24	4
hsa-miR-571	0	0	0	0
hsa-miR-572	0	0	0	0
hsa-miR-573	0	0	0	0
hsa-miR-574-5p	5	5	1	0
hsa-miR-574-3p	99	113	119	107
hsa-miR-575	0	0	0	0
hsa-miR-576-5p	426	553	692	762
hsa-miR-576-3p	1	4	4	0
hsa-miR-577	0	0	0	0
hsa-miR-578	0	0	0	0
hsa-miR-579-5p	1	1	3	2
hsa-miR-579-3p	0	0	0	0
hsa-miR-580-5p	5	1	6	4
hsa-miR-580-3p	0	7	3	1
hsa-miR-581	1	1	1	3
hsa-miR-582-5p	3	2	4	2
hsa-miR-582-3p	59	13	21	13
hsa-miR-583	0	0	0	0
hsa-miR-584-5p	190	493	380	178
hsa-miR-584-3p	14	5	11	4
hsa-miR-585-5p	0	0	0	0
hsa-miR-585-3p	0	0	0	0
hsa-miR-548a-3p	0	0	0	0
hsa-miR-586	0	0	0	0
hsa-miR-587	0	0	0	0
hsa-miR-548b-5p	0	0	0	0
hsa-miR-548b-3p	0	1	0	0
hsa-miR-588	0	0	0	0
hsa-miR-589-5p	178	156	302	186
hsa-miR-589-3p	54	24	43	27
hsa-miR-550a-5p	40	40	87	47
hsa-miR-550a-3p	763	418	1577	1105
hsa-miR-590-5p	0	2	0	0
hsa-miR-590-3p	0	6	4	2
hsa-miR-591	0	0	0	0
hsa-miR-592	0	0	0	0
hsa-miR-593-5p	0	0	0	0
hsa-miR-593-3p	0	0	0	0
hsa-miR-595	0	0	0	0
hsa-miR-596	0	0	0	0
hsa-miR-597-5p	0	0	0	0
hsa-miR-597-3p	0	0	0	0
hsa-miR-598-5p	0	0	0	0
hsa-miR-598-3p	3	16	11	5
hsa-miR-599	0	0	0	0
hsa-miR-548a-5p	0	0	0	0
hsa-miR-600	0	0	0	0
hsa-miR-601	0	0	0	0
hsa-miR-602	0	0	0	0
hsa-miR-603	0	0	0	0
hsa-miR-604	0	0	0	0
hsa-miR-605-5p	0	0	0	0
hsa-miR-605-3p	0	1	0	0
hsa-miR-606	0	0	0	0
hsa-miR-607	0	0	2	0
hsa-miR-608	0	0	0	0
hsa-miR-609	1	0	0	0
hsa-miR-610	0	0	0	0
hsa-miR-611	0	0	0	0
hsa-miR-612	0	0	0	0
hsa-miR-613	0	0	0	0
hsa-miR-614	0	0	0	0
hsa-miR-615-5p	0	0	0	0
hsa-miR-615-3p	0	0	0	0
hsa-miR-616-5p	34	46	128	41
hsa-miR-616-3p	1	1	4	0
hsa-miR-548c-5p	0	1	1	1
hsa-miR-548c-3p	1	0	2	1
hsa-miR-617	0	0	0	0
hsa-miR-618	12	5	16	6
hsa-miR-619-5p	0	0	1	2
hsa-miR-619-3p	0	0	0	0
hsa-miR-620	0	0	0	0
hsa-miR-621	0	0	0	0
hsa-miR-622	0	0	0	0
hsa-miR-623	0	0	0	0
hsa-miR-624-5p	1	8	6	7
hsa-miR-624-3p	0	0	0	0
hsa-miR-625-5p	13	4	24	4
hsa-miR-625-3p	38	39	44	42
hsa-miR-626	0	0	0	0
hsa-miR-627-5p	16	15	34	28
hsa-miR-627-3p	7	7	34	19
hsa-miR-628-5p	5	9	19	3
hsa-miR-628-3p	4	2	5	3
hsa-miR-629-5p	36	45	51	24
hsa-miR-629-3p	3	3	0	0
hsa-miR-630	0	0	0	0
hsa-miR-631	0	0	0	0
hsa-miR-33b-5p	27	45	34	8
hsa-miR-33b-3p	0	0	1	0
hsa-miR-632	0	0	0	0
hsa-miR-633	0	0	0	0
hsa-miR-634	0	0	0	0
hsa-miR-635	0	0	0	0
hsa-miR-636	32	41	46	76
